epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,2898.82,1.39334,0.9639,1.48718,0.51656,0.45741,0.466,0.22203,2.00678,1.39017,2.04408,0.000763174,0.000763174,0.000763174
102,2926.92,1.40931,0.98361,1.49429,0.48347,0.4724,0.46926,0.22096,1.99442,1.37281,2.03421,0.000699855,0.000699855,0.000699855
103,2955.13,1.40882,0.97377,1.47825,0.50981,0.47259,0.4681,0.21904,2.01758,1.39309,2.07048,0.000639518,0.000639518,0.000639518
104,2982.6,1.40408,0.96648,1.48615,0.50482,0.47133,0.46675,0.22071,1.99032,1.37255,2.04011,0.000582203,0.000582203,0.000582203
105,3010.14,1.4048,0.96654,1.48929,0.48298,0.46515,0.46466,0.2214,1.99455,1.38044,2.03618,0.00052795,0.00052795,0.00052795
106,3038.46,1.37396,0.93963,1.45719,0.51639,0.4566,0.46893,0.22043,1.99944,1.39581,2.05249,0.000476796,0.000476796,0.000476796
107,3066.46,1.37711,0.9572,1.45408,0.52552,0.44926,0.46676,0.22044,2.00124,1.40127,2.0572,0.000428777,0.000428777,0.000428777
108,3094.58,1.3636,0.94153,1.46375,0.49193,0.46178,0.46945,0.22183,1.99723,1.37535,2.05205,0.000383925,0.000383925,0.000383925
109,3123.52,1.39685,0.96309,1.48243,0.52851,0.44537,0.46134,0.21887,2.01087,1.40054,2.06515,0.00034227,0.00034227,0.00034227
110,3152.71,1.37412,0.93271,1.46119,0.53051,0.45197,0.47163,0.22204,1.99248,1.37788,2.04451,0.000303842,0.000303842,0.000303842
111,3182.64,1.32819,0.86136,1.51493,0.4996,0.4525,0.45808,0.21722,2.00743,1.39061,2.07038,0.000268667,0.000268667,0.000268667
112,3209.09,1.32172,0.8071,1.50553,0.50025,0.45579,0.45782,0.2155,2.00688,1.37828,2.07729,0.000236769,0.000236769,0.000236769
113,3234.87,1.3125,0.80189,1.49315,0.50328,0.47051,0.46126,0.21566,2.00175,1.37726,2.07406,0.000208169,0.000208169,0.000208169
